B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9180,V,740.0,10,折扣经济舱,2019-01-04 09:31:27 570
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9180,T,600.0,10,折扣经济舱,2019-01-04 09:31:27 570
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9180,F,3700.0,8,标准头等舱,2019-01-04 09:31:27 570
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9180,J,3220.0,2,标准公务舱,2019-01-04 09:31:27 570
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9180,Y,1850.0,10,标准经济舱,2019-01-04 09:31:27 571
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9354,E,1550.0,10,折扣经济舱,2019-01-04 09:31:27 571
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9354,N,1180.0,10,折扣经济舱,2019-01-04 09:31:27 571
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9354,V,740.0,10,折扣经济舱,2019-01-04 09:31:27 571
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9354,T,640.0,10,折扣经济舱,2019-01-04 09:31:27 571
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9354,F,3700.0,4,标准头等舱,2019-01-04 09:31:27 571
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9354,J,3220.0,1,标准公务舱,2019-01-04 09:31:27 571
B2C_MU_03,MU,CGQ,PVG,2019-01-27,MU9354,Y,1850.0,10,标准经济舱,2019-01-04 09:31:27 571
B2C_MU_03,MU,WEH,CAN,2019-01-27,MU5640,E,1580.0,10,折扣经济舱,2019-01-04 09:31:27 824
B2C_MU_03,MU,WEH,CAN,2019-01-27,MU5640,N,1280.0,10,折扣经济舱,2019-01-04 09:31:27 824
B2C_MU_03,MU,WEH,CAN,2019-01-27,MU5640,R,1080.0,6,折扣经济舱,2019-01-04 09:31:27 824
B2C_MU_03,MU,WEH,CAN,2019-01-27,MU5640,F,5000.0,4,标准头等舱,2019-01-04 09:31:27 824
B2C_MU_03,MU,WEH,CAN,2019-01-27,MU5640,J,4000.0,3,标准公务舱,2019-01-04 09:31:27 824
B2C_MU_03,MU,WEH,CAN,2019-01-27,MU5640,Y,2000.0,10,标准经济舱,2019-01-04 09:31:27 824
B2C_MU_03,MU,YNT,SZX,2019-01-27,MU5341,B,2060.0,10,折扣经济舱,2019-01-04 09:31:27 890
B2C_MU_03,MU,YNT,SZX,2019-01-27,MU5341,F,4410.0,4,标准头等舱,2019-01-04 09:31:27 891
B2C_MU_03,MU,YNT,SZX,2019-01-27,MU5341,J,3360.0,4,标准公务舱,2019-01-04 09:31:27 891
B2C_MU_03,MU,YNT,SZX,2019-01-27,MU5341,Y,2100.0,10,标准经济舱,2019-01-04 09:31:27 891
B2C_MU_03,MU,INC,SHA,2019-01-27,MU5276,P,1420.0,4,超值头等舱,2019-01-04 09:31:28 328
B2C_MU_03,MU,INC,SHA,2019-01-27,MU5276,Q,2080.0,1,折扣公务舱,2019-01-04 09:31:28 328
B2C_MU_03,MU,INC,SHA,2019-01-27,MU5276,E,1660.0,10,折扣经济舱,2019-01-04 09:31:28 328
B2C_MU_03,MU,INC,SHA,2019-01-27,MU5276,N,1250.0,10,折扣经济舱,2019-01-04 09:31:28 328
B2C_MU_03,MU,INC,SHA,2019-01-27,MU5276,V,830.0,10,折扣经济舱,2019-01-04 09:31:28 328
B2C_MU_03,MU,INC,SHA,2019-01-27,MU5276,T,680.0,10,折扣经济舱,2019-01-04 09:31:28 328
B2C_MU_03,MU,INC,SHA,2019-01-27,MU5276,F,5940.0,6,标准头等舱,2019-01-04 09:31:28 329
B2C_MU_03,MU,INC,SHA,2019-01-27,MU5276,J,3960.0,2,标准公务舱,2019-01-04 09:31:28 329
B2C_MU_03,MU,INC,SHA,2019-01-27,MU5276,Y,1980.0,10,标准经济舱,2019-01-04 09:31:28 329
B2C_MU_03,MU,INC,SHA,2019-01-27,MU5692,P,1420.0,2,超值头等舱,2019-01-04 09:31:28 329
B2C_MU_03,MU,INC,SHA,2019-01-27,MU5692,I,1580.0,2,折扣公务舱,2019-01-04 09:31:28 329
B2C_MU_03,MU,INC,SHA,2019-01-27,MU5692,E,1660.0,10,折扣经济舱,2019-01-04 09:31:28 329
B2C_MU_03,MU,INC,SHA,2019-01-27,MU5692,N,1250.0,10,折扣经济舱,2019-01-04 09:31:28 329
B2C_MU_03,MU,INC,SHA,2019-01-27,MU5692,V,830.0,10,折扣经济舱,2019-01-04 09:31:28 329
B2C_MU_03,MU,INC,SHA,2019-01-27,MU5692,T,690.0,10,折扣经济舱,2019-01-04 09:31:28 329
B2C_MU_03,MU,INC,SHA,2019-01-27,MU5692,Z,510.0,10,超值经济舱,2019-01-04 09:31:28 329
B2C_MU_03,MU,INC,SHA,2019-01-27,MU5692,F,5940.0,4,标准头等舱,2019-01-04 09:31:28 329
B2C_MU_03,MU,INC,SHA,2019-01-27,MU5692,J,3960.0,4,标准公务舱,2019-01-04 09:31:28 329
B2C_MU_03,MU,INC,SHA,2019-01-27,MU5692,Y,1980.0,10,标准经济舱,2019-01-04 09:31:28 329
B2C_MU_03,MU,INC,PVG,2019-01-27,MU9546,P,1530.0,4,超值头等舱,2019-01-04 09:31:28 329
B2C_MU_03,MU,INC,PVG,2019-01-27,MU9546,I,1580.0,2,折扣公务舱,2019-01-04 09:31:28 329
B2C_MU_03,MU,INC,PVG,2019-01-27,MU9546,E,1660.0,10,折扣经济舱,2019-01-04 09:31:28 329
B2C_MU_03,MU,INC,PVG,2019-01-27,MU9546,N,1250.0,10,折扣经济舱,2019-01-04 09:31:28 329
B2C_MU_03,MU,INC,PVG,2019-01-27,MU9546,V,830.0,10,折扣经济舱,2019-01-04 09:31:28 329
B2C_MU_03,MU,INC,PVG,2019-01-27,MU9546,T,680.0,10,折扣经济舱,2019-01-04 09:31:28 329
B2C_MU_03,MU,INC,PVG,2019-01-27,MU9546,Z,440.0,10,超值经济舱,2019-01-04 09:31:28 329
B2C_MU_03,MU,INC,PVG,2019-01-27,MU9546,F,5940.0,4,标准头等舱,2019-01-04 09:31:28 329
B2C_MU_03,MU,INC,PVG,2019-01-27,MU9546,J,3960.0,4,标准公务舱,2019-01-04 09:31:28 329
B2C_MU_03,MU,INC,PVG,2019-01-27,MU9546,Y,1980.0,10,标准经济舱,2019-01-04 09:31:28 329
B2C_MU_03,MU,NNG,DLC,2019-01-27,MU2774,E,1830.0,10,折扣经济舱,2019-01-04 09:31:28 678
B2C_MU_03,MU,NNG,DLC,2019-01-27,MU2774,N,1380.0,10,折扣经济舱,2019-01-04 09:31:28 678
B2C_MU_03,MU,NNG,DLC,2019-01-27,MU2774,F,4320.0,4,标准头等舱,2019-01-04 09:31:28 678
B2C_MU_03,MU,NNG,DLC,2019-01-27,MU2774,J,3240.0,2,标准公务舱,2019-01-04 09:31:28 678
B2C_MU_03,MU,NNG,DLC,2019-01-27,MU2774,Y,2160.0,10,标准经济舱,2019-01-04 09:31:28 678
B2C_MU_03,MU,CGO,DSN,2019-01-27,MU9475,P,710.0,4,超值头等舱,2019-01-04 09:31:28 856
B2C_MU_03,MU,CGO,DSN,2019-01-27,MU9475,E,660.0,10,折扣经济舱,2019-01-04 09:31:28 856
B2C_MU_03,MU,CGO,DSN,2019-01-27,MU9475,N,490.0,10,折扣经济舱,2019-01-04 09:31:28 856
B2C_MU_03,MU,CGO,DSN,2019-01-27,MU9475,R,410.0,10,折扣经济舱,2019-01-04 09:31:28 856
B2C_MU_03,MU,CGO,DSN,2019-01-27,MU9475,F,2030.0,6,标准头等舱,2019-01-04 09:31:28 856
B2C_MU_03,MU,CGO,DSN,2019-01-27,MU9475,J,1620.0,1,标准公务舱,2019-01-04 09:31:28 856
B2C_MU_03,MU,CGO,DSN,2019-01-27,MU9475,Y,810.0,10,标准经济舱,2019-01-04 09:31:28 856
